company,model,year,kms_driven,fuel_type,Price
Renault,Duster,2012.0,35000.0,Diesel,501000.0
Mahindra,Bolero,2013.0,80200.0,Diesel,330000.0
Force,Motors,2015.0,3200.0,Diesel,580000.0
Maruti,Suzuki,2012.0,46000.0,Diesel,265000.0
Mahindra,Jeep,2019.0,0.0,Diesel,379000.0
Maruti,Suzuki,2015.0,5000.0,Petrol,219000.0
Mahindra,Jeep,2018.0,588.0,Diesel,385000.0
Toyota,Etios,2011.0,36000.0,Diesel,275000.0
Volkswagen,Polo,2015.0,38000.0,Diesel,330000.0
Honda,City,2008.0,45000.0,Petrol,110000.0
Maruti,Suzuki,2006.0,71200.0,Petrol,80000.0
Honda,City,2016.0,52000.0,Diesel,519000.0
Mahindra,Thar,2016.0,29000.0,Diesel,730000.0
Mitsubishi,Pajero,2015.0,47000.0,Diesel,1475000.0
Audi,A4,2009.0,47000.0,Petrol,699000.0
Mercedes,Benz,2015.0,20000.0,Diesel,2000000.0
Land,Rover,2015.0,30000.0,Diesel,2100000.0
Renault,Kwid,2017.0,5000.0,Petrol,340000.0
Tata,Aria,2014.0,35000.0,Diesel,390000.0
Mercedes,Benz,2014.0,31000.0,Petrol,1400000.0
Datsun,GO,2016.0,7000.0,Petrol,245000.0
Tata,Indigo,2016.0,175430.0,Diesel,320000.0
Tata,Indigo,2016.0,175400.0,Diesel,320000.0
Honda,Jazz,2016.0,41000.0,Petrol,450000.0
Honda,Amaze,2014.0,33000.0,Petrol,311000.0
Honda,Amaze,2013.0,46000.0,Diesel,284999.0
Honda,City,2012.0,45000.0,Petrol,399999.0
Honda,City,2015.0,39000.0,Diesel,599999.0
Honda,Amaze,2015.0,22000.0,Petrol,344999.0
Audi,A4,2009.0,47000.0,Petrol,699000.0
Force,Motors,2015.0,3200.0,Diesel,580000.0
Mahindra,Scorpio,2015.0,30000.0,Diesel,855000.0
Hyundai,i20,2015.0,37000.0,Diesel,535000.0
Mini,Cooper,2013.0,13000.0,Petrol,1891111.0
Maruti,Suzuki,2017.0,14000.0,Petrol,699000.0
Chevrolet,Tavera,2013.0,55000.0,Diesel,375000.0
Honda,Amaze,2013.0,46000.0,Diesel,284999.0
Hyundai,Eon,2012.0,30000.0,Petrol,178000.0
Tata,Sumo,2013.0,50000.0,Diesel,300000.0
Maruti,Suzuki,2003.0,45000.0,Petrol,90000.0
Maruti,Suzuki,2006.0,45000.0,Petrol,95000.0
Maruti,Suzuki,2015.0,9300.0,Petrol,255000.0
Chevrolet,Enjoy,2013.0,55000.0,Diesel,245000.0
Hyundai,i20,2012.0,36200.0,Diesel,329500.0
Ford,Figo,2014.0,50000.0,Diesel,195000.0
Maruti,Suzuki,2015.0,55000.0,Petrol,251111.0
Maruti,Suzuki,2014.0,45000.0,Petrol,569999.0
Maruti,Suzuki,2007.0,51000.0,Petrol,69999.0
Maruti,Suzuki,2014.0,19000.0,Petrol,299999.0
Maruti,Suzuki,2009.0,46000.0,Petrol,220000.0
Maruti,Suzuki,2013.0,33000.0,Diesel,399999.0
Maruti,Suzuki,2010.0,36000.0,Petrol,249999.0
Maruti,Suzuki,2015.0,22000.0,Petrol,289999.0
Mini,Cooper,2013.0,13500.0,Petrol,1891111.0
Nissan,Terrano,2015.0,60000.0,Diesel,499999.0
Renault,Duster,2013.0,27000.0,Diesel,489999.0
Renault,Duster,2014.0,59000.0,Diesel,489999.0
Renault,Duster,2015.0,19000.0,Diesel,549999.0
Maruti,Suzuki,2013.0,30000.0,Petrol,380000.0
Renault,Kwid,2018.0,15000.0,Petrol,325000.0
Maruti,Suzuki,2003.0,56758.0,Petrol,57000.0
Renault,Kwid,2018.0,10000.0,Petrol,349999.0
Renault,Lodgy,2018.0,20000.0,Diesel,689999.0
Renault,Scala,2014.0,49000.0,Diesel,349999.0
Hyundai,Grand,2014.0,41000.0,Petrol,410000.0
Maruti,Suzuki,2011.0,45000.0,Petrol,225000.0
Chevrolet,Beat,2010.0,43000.0,Petrol,120000.0
Tata,Indigo,2016.0,175430.0,Diesel,320000.0
Hyundai,Santro,2000.0,56450.0,Petrol,59000.0
Hyundai,Fluidic,2015.0,38000.0,Diesel,540000.0
Chevrolet,Beat,2010.0,56000.0,Petrol,80000.0
Mahindra,Quanto,2013.0,37000.0,Diesel,340000.0
Fiat,Petra,2008.0,65000.0,Petrol,75000.0
Chevrolet,Beat,2015.0,32700.0,Petrol,220000.0
Skoda,Fabia,2011.0,38200.0,Diesel,159500.0
Ford,EcoSport,2016.0,30000.0,Diesel,599000.0
Hyundai,Accent,2006.0,56000.0,Petrol,80000.0
Mahindra,TUV300,2016.0,9000.0,Diesel,675000.0
Mini,Cooper,2013.0,13000.0,Petrol,1891111.0
Mini,Cooper,2013.0,13000.0,Petrol,1891111.0
Tata,Indica,2008.0,11000.0,Petrol,150000.0
Mini,Cooper,2013.0,13000.0,Petrol,1891111.0
Tata,Indigo,2009.0,46000.0,Diesel,72500.0
Maruti,Suzuki,2019.0,73.0,Petrol,610000.0
Mahindra,Scorpio,2004.0,160000.0,Diesel,230000.0
Honda,Accord,2009.0,58559.0,Petrol,175000.0
Mahindra,Scorpio,2015.0,30000.0,Diesel,855000.0
Chevrolet,Tavera,2013.0,55000.0,Diesel,375000.0
Ford,EcoSport,2014.0,57000.0,Diesel,520000.0
Maruti,Suzuki,2015.0,50000.0,Diesel,524999.0
Honda,Amaze,2014.0,37000.0,Petrol,299999.0
Maruti,Suzuki,2012.0,40000.0,Petrol,299999.0
Honda,City,2011.0,55000.0,Petrol,284999.0
Mahindra,Scorpio,2007.0,170000.0,Diesel,220000.0
Maruti,Suzuki,2014.0,55000.0,Diesel,424999.0
Honda,City,2015.0,39000.0,Petrol,644999.0
Honda,Mobilio,2014.0,44000.0,Petrol,399999.0
Toyota,Corolla,2009.0,65000.0,Petrol,199999.0
Honda,City,2014.0,39000.0,Petrol,584999.0
Skoda,Laura,2012.0,44000.0,Diesel,349999.0
Renault,Duster,2015.0,49000.0,Diesel,449999.0
Maruti,Suzuki,2018.0,9000.0,Diesel,799999.0
Maruti,Suzuki,2015.0,45000.0,Diesel,444999.0
Mahindra,XUV500,2014.0,47000.0,Diesel,649999.0
Hyundai,Verna,2012.0,40000.0,Diesel,444999.0
Maruti,Suzuki,2016.0,29000.0,Diesel,689999.0
Maruti,Suzuki,2016.0,15000.0,Petrol,344999.0
Mahindra,Scorpio,2015.0,45000.0,Diesel,944999.0
Honda,Amaze,2014.0,35000.0,Petrol,274999.0
Mahindra,XUV500,2013.0,80000.0,Diesel,689999.0
Mahindra,Scorpio,2013.0,68000.0,Diesel,574999.0
Skoda,Laura,2013.0,50000.0,Diesel,374999.0
Volkswagen,Polo,2010.0,60000.0,Diesel,199999.0
Hyundai,Elite,2016.0,9000.0,Petrol,549999.0
Tata,Manza,2012.0,72000.0,Diesel,130000.0
Chevrolet,Sail,2013.0,60000.0,Petrol,210000.0
Renault,Duster,2012.0,38000.0,Diesel,501000.0
Hyundai,Verna,2013.0,45000.0,Diesel,401000.0
Audi,A4,2012.0,40000.0,Diesel,1350000.0
Hyundai,Elantra,2013.0,20000.0,Petrol,600000.0
Mahindra,Scorpio,2013.0,35000.0,Diesel,610000.0
Mahindra,KUV100,2016.0,20000.0,Diesel,400000.0
Renault,Scala,2015.0,25000.0,Diesel,375000.0
Mahindra,Quanto,2013.0,20000.0,Diesel,375000.0
Hyundai,Grand,2014.0,20000.0,Petrol,365000.0
Hyundai,i20,2015.0,18000.0,Petrol,500000.0
Mahindra,Xylo,2012.0,35000.0,Diesel,400000.0
Hyundai,Grand,2017.0,6821.0,Petrol,524999.0
Hyundai,i20,2014.0,23000.0,Petrol,449999.0
Hyundai,Eon,2014.0,14000.0,Petrol,174999.0
Hyundai,i10,2012.0,38000.0,Petrol,244999.0
Hyundai,i20,2015.0,35000.0,Diesel,574999.0
Datsun,Redi,2017.0,22000.0,Petrol,244999.0
Toyota,Etios,2011.0,41000.0,Petrol,239999.0
Hyundai,Accent,2010.0,45000.0,Petrol,99999.0
Hyundai,Verna,2014.0,44000.0,Diesel,489999.0
Maruti,Suzuki,2013.0,45000.0,Diesel,324999.0
Toyota,Fortuner,2011.0,52000.0,Diesel,1074999.0
Hyundai,i10,2012.0,34000.0,Petrol,230000.0
Mahindra,Bolero,2018.0,1800.0,Diesel,699000.0
Mahindra,XUV500,2015.0,15000.0,Diesel,1000000.0
Honda,City,2010.0,400000.0,Petrol,240000.0
Chevrolet,Spark,2009.0,44000.0,Petrol,110000.0
Mahindra,Jeep,2019.0,60.0,Diesel,390000.0
Renault,Duster,2012.0,35000.0,Diesel,501000.0
Mahindra,XUV500,2016.0,72000.0,Diesel,1130000.0
Tata,Indigo,2014.0,40000.0,Diesel,250000.0
Mahindra,Bolero,2013.0,80200.0,Diesel,330000.0
Force,Motors,2015.0,3200.0,Diesel,580000.0
Skoda,Rapid,2013.0,48000.0,Diesel,340000.0
Tata,Vista,2011.0,90000.0,Diesel,120000.0
Maruti,Suzuki,2015.0,12000.0,Petrol,265000.0
Maruti,Suzuki,2012.0,46000.0,Diesel,265000.0
Maruti,Suzuki,2003.0,69900.0,Petrol,85000.0
Mahindra,Jeep,2019.0,0.0,Diesel,379000.0
Hyundai,i10,2011.0,45000.0,Petrol,175000.0
Maruti,Suzuki,2015.0,5000.0,Petrol,219000.0
Maruti,Suzuki,2016.0,166000.0,Diesel,350000.0
Honda,City,2008.0,42000.0,Petrol,149000.0
Mahindra,Jeep,2018.0,588.0,Diesel,385000.0
Mahindra,Jeep,2006.0,122.0,Diesel,425000.0
Chevrolet,Beat,2017.0,62000.0,Diesel,150000.0
Honda,City,2010.0,70000.0,Petrol,225000.0
Hyundai,Verna,2014.0,36000.0,Petrol,375000.0
Toyota,Innova,2012.0,0.0,Diesel,770000.0
Maruti,Suzuki,1995.0,55000.0,Petrol,30000.0
Toyota,Etios,2011.0,36000.0,Diesel,275000.0
Volkswagen,Polo,2015.0,38000.0,Diesel,330000.0
Maruti,Suzuki,2014.0,55000.0,Diesel,335000.0
Hyundai,Elite,2015.0,20000.0,Diesel,450000.0
Maruti,Suzuki,2012.0,40000.0,Petrol,225000.0
Maruti,Suzuki,2004.0,50000.0,Petrol,80000.0
Tata,Indigo,2016.0,104000.0,Diesel,130000.0
Volkswagen,Vento,2011.0,65000.0,Diesel,245000.0
Mercedes,Benz,2002.0,41000.0,Petrol,399000.0
Maruti,Suzuki,2013.0,90000.0,Diesel,450000.0
Honda,City,2000.0,80000.0,Petrol,65000.0
Hyundai,Santro,2006.0,46000.0,Petrol,75000.0
Maruti,Suzuki,2001.0,70000.0,Petrol,70000.0
Hyundai,Sonata,2017.0,36469.0,Diesel,190000.0
Hyundai,Elite,2018.0,7800.0,Petrol,600000.0
Volkswagen,Vento,2011.0,65000.0,Diesel,245000.0
Maruti,Suzuki,2017.0,60000.0,Petrol,240000.0
Maruti,Suzuki,2011.0,32000.0,Petrol,155000.0
Honda,Jazz,2009.0,24695.0,Petrol,169999.0
Hyundai,Grand,2017.0,15141.0,Petrol,450000.0
Maruti,Suzuki,2001.0,40000.0,Petrol,40000.0
Mahindra,Scorpio,2012.0,65000.0,Diesel,165000.0
Maruti,Suzuki,2014.0,22000.0,Petrol,270000.0
Hyundai,Grand,2016.0,59910.0,Diesel,280000.0
Mahindra,XUV500,2012.0,100000.0,Diesel,560000.0
Hyundai,Creta,2016.0,25000.0,Petrol,950000.0
Hyundai,i20,2013.0,35000.0,Petrol,310000.0
Renault,Duster,2015.0,65000.0,Diesel,715000.0
Hyundai,Grand,2014.0,35000.0,Petrol,340000.0
Honda,Brio,2012.0,33000.0,Petrol,235000.0
Mahindra,TUV300,2017.0,68000.0,Diesel,610000.0
Chevrolet,Spark,2010.0,23000.0,Petrol,95000.0
Mahindra,TUV300,2018.0,4500.0,Diesel,1000000.0
Maruti,Suzuki,2015.0,129000.0,Diesel,220000.0
Nissan,X,2019.0,300.0,Diesel,1200000.0
Maruti,Suzuki,2015.0,5000.0,Petrol,230000.0
Ford,Ikon,2001.0,65000.0,Petrol,45000.0
Toyota,Fortuner,2010.0,131000.0,Diesel,940000.0
Tata,Manza,2010.0,111111.0,Petrol,155555.0
Mercedes,Benz,2013.0,14000.0,Petrol,1500000.0
Chevrolet,Beat,2016.0,22000.0,Diesel,210000.0
Ford,EcoSport,2013.0,38000.0,Diesel,495000.0
Tata,Indigo,2016.0,70000.0,Diesel,125000.0
Hyundai,i20,2010.0,36000.0,Petrol,195000.0
Volkswagen,Vento,2015.0,34000.0,Diesel,550000.0
Renault,Kwid,2015.0,43000.0,Petrol,270000.0
Ford,EcoSport,2014.0,40000.0,Diesel,500000.0
Honda,Amaze,2016.0,160000.0,Diesel,240000.0
Hyundai,Verna,2017.0,12000.0,Petrol,800000.0
BMW,5,2011.0,49000.0,Diesel,1299000.0
Skoda,Superb,2011.0,68000.0,Petrol,530000.0
Audi,Q3,2013.0,37000.0,Diesel,1499000.0
Mahindra,Bolero,2012.0,59466.0,Diesel,220000.0
Mahindra,Scorpio,2015.0,97200.0,Diesel,900000.0
Ford,Figo,2012.0,99000.0,Diesel,250000.0
Maruti,Suzuki,2018.0,25500.0,Petrol,395000.0
Mahindra,Logan,2009.0,66000.0,Petrol,130000.0
Tata,Nano,2010.0,44005.0,Petrol,32000.0
Mahindra,TUV300,2016.0,35000.0,Diesel,540000.0
Mahindra,TUV300,2016.0,35000.0,Diesel,540000.0
Hyundai,Elite,2015.0,28000.0,Petrol,405000.0
Hyundai,Elite,2015.0,30000.0,Petrol,400000.0
Honda,City,2017.0,4000.0,Petrol,760000.0
Maruti,Suzuki,2016.0,28000.0,Petrol,500000.0
Ford,Figo,2011.0,75000.0,Petrol,175000.0
Mahindra,Scorpio,2015.0,97200.0,Diesel,900000.0
Honda,City,2017.0,3000.0,Petrol,750000.0
Hyundai,Elite,2015.0,20000.0,Petrol,419000.0
Maruti,Suzuki,2004.0,50000.0,Petrol,90000.0
Hyundai,Eon,2018.0,2110.0,Petrol,140000.0
Mitsubishi,Pajero,2015.0,43222.0,Petrol,1540000.0
Hyundai,i10,2008.0,100200.0,Petrol,275000.0
Toyota,Corolla,2003.0,100000.0,Petrol,150000.0
Maruti,Suzuki,2011.0,65.0,Petrol,230000.0
Tata,Indigo,2015.0,100000.0,Diesel,123000.0
Mahindra,Scorpio,2015.0,97200.0,Diesel,900000.0
Mahindra,Scorpio,2015.0,97200.0,Diesel,900000.0
Hyundai,Xcent,2016.0,140000.0,Diesel,300000.0
Honda,City,2015.0,55000.0,Petrol,499999.0
Hyundai,Accent,2009.0,48000.0,Petrol,165000.0
Maruti,Suzuki,2016.0,22000.0,Petrol,498000.0
Tata,Zest,2018.0,103553.0,Diesel,480000.0
Maruti,Suzuki,2017.0,80000.0,Diesel,488000.0
Tata,Sumo,2014.0,99000.0,Diesel,250000.0
Toyota,Corolla,2010.0,58000.0,Petrol,220000.0
Maruti,Suzuki,2013.0,70000.0,LPG,290000.0
Toyota,Fortuner,2015.0,120000.0,Diesel,1525000.0
Mahindra,XUV500,2013.0,49800.0,Diesel,548900.0
Tata,Tigor,2019.0,100.0,Diesel,650000.0
Maruti,Suzuki,2001.0,81876.0,Petrol,55000.0
Maruti,Suzuki,2015.0,75000.0,Petrol,550000.0
Maruti,Suzuki,2004.0,50000.0,Petrol,90000.0
Honda,Mobilio,2014.0,44000.0,Diesel,399000.0
